paper_id,title,abstract,year,venue,original_length,cleaned_length,word_count,token_count,compression_ratio,cleaned_text,tokens
s2_cb648d482dbd1e6ad0b0f4da43aca71c06538d4f,Text Generation with Diffusion Language Models: A Pre-training Approach with Continuous Paragraph Denoise,"In this paper, we introduce a novel dIffusion language modEl pre-training framework for text generation, which we call GENIE. GENIE is a large-scale pretrained diffusion language model that consists o...",2022,International Conference on Machine Learning,1127,1068,149,150,0.9476486246672582,"text generation with diffusion language models: a pre-training approach with continuous paragraph denoise in this paper, we introduce a novel diffusion language model pre-training framework for text generation, which we call genie. genie is a large-scale pretrained diffusion language model that consists of an encoder and a diffusion-based decoder, which can generate text by gradually transforming a random noise sequence into a coherent text sequence. to pre-train genie on a large-scale language corpus, we design a new continuous paragraph denoise objective, which encourages the diffusion-decoder to reconstruct a clean text paragraph from a corrupted version, while preserving the semantic and syntactic coherence. we evaluate genie on four downstream text generation benchmarks, namely xsum, cnn/dailymail, gigaword, and commongen. our experimental results show that genie achieves comparable performance with the state-of-the-art autoregressive models on these benchmarks, and generates more diverse text samples. the code and models of genie are available at","['text', 'generation', 'with', 'diffusion', 'language', 'models', 'pre', 'training', 'approach', 'with', 'continuous', 'paragraph', 'denoise', 'in', 'this', 'paper', 'we', 'introduce', 'novel', 'diffusion']"
s2_19af8292ff3cc10aad6f190490f0d34691658179,Investigating Pretrained Language Models for Graph-to-Text Generation,"Graph-to-text generation aims to generate fluent texts from graph-based data. In this paper, we investigate two recent pretrained language models (PLMs) and analyze the impact of different task-adapti...",2020,NLP4CONVAI,1205,1205,173,180,1.0,"investigating pretrained language models for graph-to-text generation graph-to-text generation aims to generate fluent texts from graph-based data. in this paper, we investigate two recent pretrained language models (plms) and analyze the impact of different task-adaptive pretraining strategies for plms in graph-to-text generation. we present a study across three graph domains: meaning representations, wikipedia knowledge graphs (kgs) and scientific kgs. we show that approaches based on plms bart and t5 achieve new state-of-the-art results and that task-adaptive pretraining strategies improve their performance even further. we report new state-of-the-art bleu scores of 49.72 on amr-ldc2017t10, 59.70 on webnlg, and 25.66 on agenda datasets - a relative improvement of 31.8%, 4.5%, and 42.4%, respectively, with our models generating significantly more fluent texts than human references. in an extensive analysis, we identify possible reasons for the plms’ success on graph-to-text tasks. our findings suggest that the plms benefit from similar facts seen during pretraining or fine-tuning, such that they perform well even when the input graph is reduced to a simple bag of node and edge labels.","['investigating', 'pretrained', 'language', 'models', 'for', 'graph', 'to', 'text', 'generation', 'graph', 'to', 'text', 'generation', 'aims', 'to', 'generate', 'fluent', 'texts', 'from', 'graph']"
s2_6151ee4af6a3fe78f2df7c605598cd9e02b23c5b,Learning to Break the Loop: Analyzing and Mitigating Repetitions for Neural Text Generation,"While large-scale neural language models, such as GPT2 and BART, have achieved impressive results on various text generation tasks, they tend to get stuck in undesirable sentence-level loops with maxi...",2022,Neural Information Processing Systems,1795,1795,228,238,1.0,"learning to break the loop: analyzing and mitigating repetitions for neural text generation while large-scale neural language models, such as gpt2 and bart, have achieved impressive results on various text generation tasks, they tend to get stuck in undesirable sentence-level loops with maximization-based decoding algorithms (\textit{e.g.}, greedy search). this phenomenon is counter-intuitive since there are few consecutive sentence-level repetitions in human corpora (e.g., 0.02\% in wikitext-103). to investigate the underlying reasons for generating consecutive sentence-level repetitions, we study the relationship between the probabilities of the repetitive tokens and their previous repetitions in the context. through our quantitative experiments, we find that 1) language models have a preference to repeat the previous sentence; 2) the sentence-level repetitions have a \textit{self-reinforcement effect}: the more times a sentence is repeated in the context, the higher the probability of continuing to generate that sentence; 3) the sentences with higher initial probabilities usually have a stronger self-reinforcement effect. motivated by our findings, we propose a simple and effective training method \textbf{ditto} (pseu\underline{d}o-repet\underline{it}ion penaliza\underline{t}i\underline{o}n), where the model learns to penalize probabilities of sentence-level repetitions from pseudo repetitive data. although our method is motivated by mitigating repetitions, experiments show that ditto not only mitigates the repetition issue without sacrificing perplexity, but also achieves better generation quality. extensive experiments on open-ended text generation (wikitext-103) and text summarization (cnn/dailymail) demonstrate the generality and effectiveness of our method.","['learning', 'to', 'break', 'the', 'loop', 'analyzing', 'and', 'mitigating', 'repetitions', 'for', 'neural', 'text', 'generation', 'while', 'large', 'scale', 'neural', 'language', 'models', 'such']"
s2_6f709278506813d04a074e6fa20188cce9bb927b,LucidDreamer: Towards High-Fidelity Text-to-3D Generation via Interval Score Matching,"The recent advancements in text-to-3D generation mark a significant milestone in generative models, unlocking new possibilities for creating imaginative 3D assets across var-ious real-world scenarios....",2023,Computer Vision and Pattern Recognition,1175,1175,151,161,1.0,"luciddreamer: towards high-fidelity text-to-3d generation via interval score matching the recent advancements in text-to-3d generation mark a significant milestone in generative models, unlocking new possibilities for creating imaginative 3d assets across var-ious real-world scenarios. while recent advancements in text-to-3d generation have shown promise, they often fall short in rendering detailed and high-quality 3d models. this problem is especially prevalent as many methods base themselves on score distillation sampling (sds). this paper identifies a notable deficiency in sds, that it brings inconsistent and low-quality updating direction for the 3d model, causing the over-smoothing effect. to address this, we propose a novel approach called interval score matching (ism). ism employs deterministic diffusing trajectories and utilizes interval-based score matching to counteract over-smoothing. furthermore, we incorporate 3d gaussian splatting into our text-to-3d generation pipeline. extensive experiments show that our model largely outperforms the state-of-the-art in quality and training efficiency. our code is available at: envision-research/luciddreamer","['luciddreamer', 'towards', 'high', 'fidelity', 'text', 'to', 'generation', 'via', 'interval', 'score', 'matching', 'the', 'recent', 'advancements', 'in', 'text', 'to', 'generation', 'mark', 'significant']"
s2_823cacd5255f3897a8d29f29a7c7cb8f978bd928,CATER: Intellectual Property Protection on Text Generation APIs via Conditional Watermarks,"Previous works have validated that text generation APIs can be stolen through imitation attacks, causing IP violations. In order to protect the IP of text generation APIs, a recent work has introduced...",2022,Neural Information Processing Systems,1564,1564,228,226,1.0,"cater: intellectual property protection on text generation apis via conditional watermarks previous works have validated that text generation apis can be stolen through imitation attacks, causing ip violations. in order to protect the ip of text generation apis, a recent work has introduced a watermarking algorithm and utilized the null-hypothesis test as a post-hoc ownership verification on the imitation models. however, we find that it is possible to detect those watermarks via sufficient statistics of the frequencies of candidate watermarking words. to address this drawback, in this paper, we propose a novel conditional watermarking framework (cater) for protecting the ip of text generation apis. an optimization method is proposed to decide the watermarking rules that can minimize the distortion of overall word distributions while maximizing the change of conditional word selections. theoretically, we prove that it is infeasible for even the savviest attacker (they know how cater works) to reveal the used watermarks from a large pool of potential word pairs based on statistical inspection. empirically, we observe that high-order conditions lead to an exponential growth of suspicious (unused) watermarks, making our crafted watermarks more stealthy. in addition, \cater can effectively identify the ip infringement under architectural mismatch and cross-domain imitation attacks, with negligible impairments on the generation quality of victim apis. we envision our work as a milestone for stealthily protecting the ip of text generation apis.","['cater', 'intellectual', 'property', 'protection', 'on', 'text', 'generation', 'apis', 'via', 'conditional', 'watermarks', 'previous', 'works', 'have', 'validated', 'that', 'text', 'generation', 'apis', 'can']"
s2_3af134a559a618b3185390646d49d1d4e7ffab45,Instant3D: Fast Text-to-3D with Sparse-View Generation and Large Reconstruction Model,"Text-to-3D with diffusion models has achieved remarkable progress in recent years. However, existing methods either rely on score distillation-based optimization which suffer from slow inference, low ...",2023,International Conference on Learning Representations,1161,1131,165,165,0.9741602067183462,"instant3d: fast text-to-3d with sparse-view generation and large reconstruction model text-to-3d with diffusion models has achieved remarkable progress in recent years. however, existing methods either rely on score distillation-based optimization which suffer from slow inference, low diversity and janus problems, or are feed-forward methods that generate low-quality results due to the scarcity of 3d training data. in this paper, we propose instant3d, a novel method that generates high-quality and diverse 3d assets from text prompts in a feed-forward manner. we adopt a two-stage paradigm, which first generates a sparse set of four structured and consistent views from text in one shot with a fine-tuned 2d text-to-image diffusion model, and then directly regresses the nerf from the generated images with a novel transformer-based sparse-view reconstructor. through extensive experiments, we demonstrate that our method can generate diverse 3d assets of high visual quality within 20 seconds, which is two orders of magnitude faster than previous optimization-based methods that can take 1 to 10 hours. our project webpage:","['fast', 'text', 'to', 'with', 'sparse', 'view', 'generation', 'and', 'large', 'reconstruction', 'model', 'text', 'to', 'with', 'diffusion', 'models', 'has', 'achieved', 'remarkable', 'progress']"
s2_1243e13254bb4ea1f71b4be8a3e4e54ffd02d2fe,Scaling Autoregressive Models for Content-Rich Text-to-Image Generation,"We present the Pathways Autoregressive Text-to-Image (Parti) model, which generates high-fidelity photorealistic images and supports content-rich synthesis involving complex compositions and world kno...",2022,Trans. Mach. Learn. Res.,1473,1442,203,213,0.9789545145960624,"scaling autoregressive models for content-rich text-to-image generation we present the pathways autoregressive text-to-image (parti) model, which generates high-fidelity photorealistic images and supports content-rich synthesis involving complex compositions and world knowledge. parti treats text-to-image generation as a sequence-to-sequence modeling problem, akin to machine translation, with sequences of image tokens as the target outputs rather than text tokens in another language. this strategy can naturally tap into the rich body of prior work on large language models, which have seen continued advances in capabilities and performance through scaling data and model sizes. our approach is simple: first, parti uses a transformer-based image tokenizer, vit-vqgan, to encode images as sequences of discrete tokens. second, we achieve consistent quality improvements by scaling the encoder-decoder transformer model up to 20b parameters, with a new state-of-the-art zero-shot fid score of 7.23 and finetuned fid score of 3.22 on ms-coco. our detailed analysis on localized narratives as well as partiprompts (p2), a new holistic benchmark of over 1600 english prompts, demonstrate the effectiveness of parti across a wide variety of categories and difficulty aspects. we also explore and highlight limitations of our models in order to define and exemplify key areas of focus for further improvements. see for high-resolution images.","['scaling', 'autoregressive', 'models', 'for', 'content', 'rich', 'text', 'to', 'image', 'generation', 'we', 'present', 'the', 'pathways', 'autoregressive', 'text', 'to', 'image', 'parti', 'model']"
s2_2a3213cb3c755f036d5dfec7261d726a819c78c1,Muse: Text-To-Image Generation via Masked Generative Transformers,"We present Muse, a text-to-image Transformer model that achieves state-of-the-art image generation performance while being significantly more efficient than diffusion or autoregressive models. Muse is...",2023,International Conference on Machine Learning,1407,1378,205,206,0.9793887704335466,"muse: text-to-image generation via masked generative transformers we present muse, a text-to-image transformer model that achieves state-of-the-art image generation performance while being significantly more efficient than diffusion or autoregressive models. muse is trained on a masked modeling task in discrete token space: given the text embedding extracted from a pre-trained large language model (llm), muse is trained to predict randomly masked image tokens. compared to pixel-space diffusion models, such as imagen and dall-e 2, muse is significantly more efficient due to the use of discrete tokens and requiring fewer sampling iterations; compared to autoregressive models, such as parti, muse is more efficient due to the use of parallel decoding. the use of a pre-trained llm enables fine-grained language understanding, translating to high-fidelity image generation and the understanding of visual concepts such as objects, their spatial relationships, pose, cardinality etc. our 900m parameter model achieves a new sota on cc3m, with an fid score of 6.06. the muse 3b parameter model achieves an fid of 7.88 on zero-shot coco evaluation, along with a clip score of 0.32. muse also directly enables a number of image editing applications without the need to fine-tune or invert the model: inpainting, outpainting, and mask-free editing. more results are available at","['muse', 'text', 'to', 'image', 'generation', 'via', 'masked', 'generative', 'transformers', 'we', 'present', 'muse', 'text', 'to', 'image', 'transformer', 'model', 'that', 'achieves', 'state']"
s2_e15900cf7c93d4b6e45a12fe3534840c910467e1,ELITE: Encoding Visual Concepts into Textual Embeddings for Customized Text-to-Image Generation,"In addition to the unprecedented ability in imaginary creation, large text-to-image models are expected to take customized concepts in image generation. Existing works generally learn such concepts in...",2023,IEEE International Conference on Computer Vision,1339,1305,181,184,0.9746079163554892,"elite: encoding visual concepts into textual embeddings for customized text-to-image generation in addition to the unprecedented ability in imaginary creation, large text-to-image models are expected to take customized concepts in image generation. existing works generally learn such concepts in an optimization-based manner, yet bringing excessive computation or memory burden. in this paper, we instead propose a learning-based encoder, which consists of a global and a local mapping networks for fast and accurate customized text-to-image generation. in specific, the global mapping network projects the hierarchical features of a given image into multiple ""new"" words in the textual word embedding space, i.e., one primary word for well-editable concept and other auxiliary words to exclude irrelevant disturbances (e.g., background). in the meantime, a local mapping network injects the encoded patch features into cross attention layers to provide omitted details, without sacrificing the editability of primary concepts. we compare our method with existing optimization-based approaches on a variety of user-defined concepts, and demonstrate that our method enables high-fidelity inversion and more robust editability with a significantly faster encoding process. our code is publicly available at","['elite', 'encoding', 'visual', 'concepts', 'into', 'textual', 'embeddings', 'for', 'customized', 'text', 'to', 'image', 'generation', 'in', 'addition', 'to', 'the', 'unprecedented', 'ability', 'in']"
s2_2c6ac935c826002976722ca8d3319f691975687e,Self-conditioned Embedding Diffusion for Text Generation,"Can continuous diffusion models bring the same performance breakthrough on natural language they did for image generation? To circumvent the discrete nature of text data, we can simply project tokens ...",2022,arXiv.org,1002,1002,140,139,1.0,"self-conditioned embedding diffusion for text generation can continuous diffusion models bring the same performance breakthrough on natural language they did for image generation? to circumvent the discrete nature of text data, we can simply project tokens in a continuous space of embeddings, as is standard in language modeling. we propose self-conditioned embedding diffusion, a continuous diffusion mechanism that operates on token embeddings and allows to learn flexible and scalable diffusion models for both conditional and unconditional text generation. through qualitative and quantitative evaluation, we show that our text diffusion models generate samples comparable with those produced by standard autoregressive language models - while being in theory more efficient on accelerator hardware at inference time. our work paves the way for scaling up diffusion models for text, similarly to autoregressive models, and for improving performance with recent refinements to continuous diffusion.","['self', 'conditioned', 'embedding', 'diffusion', 'for', 'text', 'generation', 'can', 'continuous', 'diffusion', 'models', 'bring', 'the', 'same', 'performance', 'breakthrough', 'on', 'natural', 'language', 'they']"
s2_86891d00499eebe86d3f1e39143d412addf2652b,DFX: A Low-latency Multi-FPGA Appliance for Accelerating Transformer-based Text Generation,"Transformer is a deep learning language model widely used for natural language processing (NLP) services in datacenters. Among transformer models, Generative Pretrained Transformer (GPT) has achieved ...",2022,Micro,1832,1832,259,262,1.0,"dfx: a low-latency multi-fpga appliance for accelerating transformer-based text generation transformer is a deep learning language model widely used for natural language processing (nlp) services in datacenters. among transformer models, generative pretrained transformer (gpt) has achieved remarkable performance in text generation, or natural language generation (nlg), which needs the processing of a large input context in the summarization stage, followed by the generation stage that produces a single word at a time. the conventional platforms such as gpu are specialized for the parallel processing of large inputs in the summarization stage, but their performance significantly degrades in the generation stage due to its sequential characteristic. therefore, an efficient hardware platform is required to address the high latency caused by the sequential characteristic of text generation. in this paper, we present dfx, a multi-fpga acceleration appliance that executes gpt-2 model inference end-to-end with low latency and high throughput in both summarization and generation stages. dfx uses model parallelism and optimized dataflow that is model-and-hardware-aware for fast simultaneous workload execution among devices. its compute cores operate on custom instructions and provide gpt-2 operations end-to-end. we implement the proposed hardware architecture on four xilinx alveo u280 fpgas and utilize all of the channels of the high bandwidth memory (hbm) and the maximum number of compute resources for high hardware efficiency. dfx achieves 5.58$\times$ speedup and 3.99$\times$ energy efficiency over four nvidia v100 gpus on the modern gpt-2 model. dfx is also 8.21$\times$ more cost-effective than the gpu appliance, suggesting that it is a promising solution for text generation workloads in cloud datacenters.","['dfx', 'low', 'latency', 'multi', 'fpga', 'appliance', 'for', 'accelerating', 'transformer', 'based', 'text', 'generation', 'transformer', 'is', 'deep', 'learning', 'language', 'model', 'widely', 'used']"
